transaction_id,customer_id,transaction_date,amount,currency,country,transaction_type,status
1,2620,2025-02-27 00:47:00,553.68,EUR,France,Card Payment,Failed
2,357,2025-10-30 13:02:00,64.45,EUR,France,Card Payment,Failed
3,815,2025-11-29 22:34:00,841.94,USD,Germany,Cash Withdrawal,Completed
4,654,2025-12-24 13:21:00,559.35,GBP,France,Card Payment,Completed
5,1557,2025-02-19 11:54:00,691.19,EUR,United Kingdom,Online Payment,Failed
6,512,2025-07-13 02:35:00,589.89,USD,Portugal,Cash Withdrawal,Failed
7,788,2025-12-27 02:02:00,1324.22,EUR,United Kingdom,Transfer,Completed
8,1557,2025-05-23 14:40:00,1669.05,GBP,France,Cash Withdrawal,Completed
9,2746,2025-05-17 22:59:00,1368.68,USD,Senegal,Transfer,Failed
10,2987,2025-05-06 05:29:00,762.01,USD,Portugal,Transfer,Completed
11,230,2025-04-28 01:51:00,634.33,EUR,United Kingdom,Transfer,Failed
12,2941,2025-06-11 06:41:00,1000.97,GBP,Portugal,Transfer,Completed
13,572,2025-05-07 23:35:00,1080.26,USD,Portugal,Online Payment,Failed
14,1636,2025-07-05 07:08:00,1021.5,EUR,Senegal,Card Payment,Completed
15,2571,2025-03-23 21:27:00,1194.84,GBP,Germany,Online Payment,Failed
16,1030,2025-10-11 00:43:00,1442.84,USD,Portugal,Cash Withdrawal,Completed
17,457,2025-05-31 13:10:00,910.18,USD,Portugal,Cash Withdrawal,Failed
18,732,2025-09-17 03:55:00,1252.47,USD,Portugal,Transfer,Completed
19,1532,2025-03-24 17:49:00,1845.26,USD,Senegal,Cash Withdrawal,Pending
20,80,2025-02-27 11:56:00,1970.72,EUR,United Kingdom,Card Payment,Completed
21,2324,2025-02-10 02:46:00,974.55,USD,Senegal,Transfer,Completed
22,2703,2025-09-01 17:10:00,533.79,GBP,Spain, card payment ,Failed
23,2990,2025-12-20 06:45:00,626.87,USD,Portugal,Cash Withdrawal,Pending
24,2120,2025-08-20 03:15:00,453.27,EUR,United Kingdom,Transfer,Failed
25,903,2025-01-04 02:45:00,1264.05,EUR,France,Card Payment,Completed
26,291,2025-09-21 07:17:00,1339.61,USD,France,Transfer,Failed
27,2361,2025-08-31 07:50:00,948.58,EUR,Germany,Card Payment,Completed
28,2700,2025-08-09 11:27:00,825.15,EUR,Portugal,Card Payment,Completed
29,1650,2025-06-23 03:15:00,387.22,GBP,Spain,Transfer,Pending
30,752,2025-05-23 14:15:00,1749.6,GBP,Senegal,Card Payment,Completed
31,2672,2025-10-04 00:05:00,1853.1,EUR,France,Online Payment,Pending
32,1972,2025-04-20 12:57:00,121.98,EUR,Germany,Online Payment,Completed
33,1864,2025-05-27 13:44:00,1914.85,USD,Spain,Online Payment,Completed
34,778,2025-06-01 06:03:00,1160.46,EUR,Spain,Cash Withdrawal,Completed
